127.0.0.1 - - [18/Jul/2023:13:46:14 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:46:33 +0900] "POST /kurly/user_signin_action.jsp?user_id=abasdas&user_pw=123123 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:49:05 +0900] "GET /kurly/kurly_user_signup.jsp HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:49:05 +0900] "GET /kurly/public/css/style.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:49:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:49:53 +0900] "POST /kurly/user_signin_action.jsp?user_id=abasdas&user_pw=123123 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:50:04 +0900] "POST /kurly/user_signin_action.jsp?user_id=abasdas&user_pw=123123 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:52:41 +0900] "POST /kurly/user_signin_action.jsp?user_id=abasdas&user_pw=123123 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:52:46 +0900] "POST /kurly/user_signin_action.jsp?user_id=abasd&user_pw=13 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Jul/2023:13:53:05 +0900] "POST /kurly/kurly_user_signin_action.jsp?user_id=abasd&user_pw=13 HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:35:43 +0900] "GET /kurly/kurly_user_signup.jsp HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:35:43 +0900] "GET /kurly/public/css/style.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:35:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:39:01 +0900] "GET /kurly/kurly_user_signup.jsp HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:39:02 +0900] "GET /kurly/public/css/style.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:39:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:39:02 +0900] "GET /kurly/kurly_user_signup.jsp HTTP/1.1" 200 2744
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:39:02 +0900] "GET /kurly/public/css/style.css HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:39:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:52:46 +0900] "POST /kurly/idCheckAction.jsp?user_id=asdaasd HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:53:31 +0900] "POST /kurly/emailCheckAction.jsp?user_email=abc123%40naver.com HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:53:36 +0900] "POST /kurly/emailCheckAction.jsp?user_email=abc111%40naver.com HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:53:39 +0900] "POST /kurly/idCheckAction.jsp?user_id=abc111 HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [18/Jul/2023:14:54:03 +0900] "POST /kurly/kurly_user_signup_action.jsp?user_id=abc111&user_pw=a123456789&user_irum=%EA%B9%80%ED%85%8C%EC%8A%A4%ED%8A%B8&user_email=abc111%40naver.com&user_hp=010-1234-5678&user_addr=+&user_gender=%EC%84%A0%ED%83%9D%EC%95%88%ED%95%A8&user_birth=1988-11-11&user_chooga=++&user_service=%EC%9D%B4%EC%9A%A9%EC%95%BD%EA%B4%80+%EB%8F%99%EC%9D%98(%ED%95%84%EC%88%98),+%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4+%EC%88%98%EC%A7%91%E2%88%99%EC%9D%B4%EC%9A%A9+%EB%8F%99%EC%9D%98(%ED%95%84%EC%88%98),+%EA%B0%9C%EC%9D%B8%EC%A0%95%EB%B3%B4+%EC%88%98%EC%A7%91%E2%88%99%EC%9D%B4%EC%9A%A9+%EB%8F%99%EC%9D%98(%EC%84%A0%ED%83%9D),+%EB%AC%B4%EB%A3%8C%EB%B0%B0%EC%86%A1,+%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0+%EB%93%B1+%ED%98%9C%ED%83%9D%2F%EC%A0%95%EB%B3%B4+%EC%88%98%EC%8B%A0+%EB%8F%99%EC%9D%98(%EC%84%A0%ED%83%9D),+SNS,+%EC%9D%B4%EB%A9%94%EC%9D%BC,+%EB%B3%B8%EC%9D%B8%EC%9D%80+%EB%A7%8C+14%EC%84%B8+%EC%9D%B4%EC%83%81%EC%9E%85%EB%8B%88%EB%8B%A4.(%ED%95%84%EC%88%98) HTTP/1.1" 200 39
